,card_number,expiry_date,card_provider,date_payment_confirmed,card_number expiry_date,Unnamed: 0
45,5413848227405660.0,01/32,Mastercard,2008-10-01,,
46,2230021476856810.0,12/30,Mastercard,2000-02-01,,
47,348581936856087.0,07/25,American Express,2022-10-09,,
48,3591360546431620.0,06/27,JCB 16 digit,2002-09-21,,
49,4.84166327439194e+18,08/31,VISA 19 digit,2011-12-08,,
50,4245935353349.0,01/25,VISA 13 digit,2010-09-08,,
51,375980793737529.0,07/24,American Express,2017-09-12,,
52,6512274395421460.0,06/27,Discover,2019-06-01,,
53,4339350102974.0,05/27,VISA 13 digit,2021-06-17,,
54,2509634527412760.0,01/31,Mastercard,1998-07-17,,
0,4669319517257350.0,10/26,VISA 16 digit,2016-10-29,,
1,4790771890485860.0,01/28,VISA 16 digit,2021-06-03,,
2,4170538181485.0,04/27,VISA 13 digit,2020-05-15,,
3,30009626168103.0,07/29,Diners Club / Carte Blanche,2006-01-26,,
4,3510746063269640.0,11/25,JCB 16 digit,2020-12-29,,
5,377575730808975.0,12/26,American Express,2021-11-02,,
6,4996345067883.0,06/32,VISA 13 digit,2001-08-15,,
7,343764616372980.0,02/29,American Express,2014-05-19,,
8,3585998350016680.0,10/25,JCB 16 digit,2012-05-11,,
9,60407078405.0,08/27,Maestro,2006-07-09,,
10,676201324875.0,01/30,Maestro,2012-02-03,,
11,4693402564058500.0,08/27,VISA 16 digit,1993-03-28,,
12,38651494130087.0,07/31,Diners Club / Carte Blanche,2007-03-31,,
13,213122670803746.0,03/26,JCB 15 digit,2004-11-16,,
14,180047124241202.0,08/31,JCB 15 digit,2015-07-21,,
15,213178868766384.0,09/25,JCB 15 digit,2019-07-23,,
16,378053117659311.0,01/23,American Express,2017-02-14,,
17,4.69263822961712e+18,12/26,VISA 19 digit,2005-01-04,,
18,4358075174487080.0,05/24,VISA 16 digit,2000-05-20,,
19,6011406406212260.0,09/26,Discover,2008-10-28,,
20,4904091344647.0,08/23,VISA 13 digit,2015-12-16,,
21,4.03171890408117e+18,05/30,VISA 19 digit,2021-08-19,,
22,4413692126955310.0,07/31,VISA 16 digit,2020-05-28,,
23,3553135392932370.0,06/29,JCB 16 digit,2010-01-29,,
24,4625583683481670.0,03/24,VISA 16 digit,2016-08-29,,
25,4.41011185824198e+18,01/30,VISA 19 digit,2015-05-17,,
26,349122751172125.0,06/25,American Express,2005-11-01,,
27,4252299704422.0,10/32,VISA 13 digit,2015-06-20,,
28,2537342874935730.0,06/25,Mastercard,2011-06-16,,
29,4832647030008.0,06/26,VISA 13 digit,2004-07-28,,
30,3565565818534560.0,06/28,JCB 16 digit,2000-08-05,,
31,4.12607620190262e+18,12/31,VISA 19 digit,2006-05-10,,
32,180041036623425.0,07/23,JCB 15 digit,2011-09-03,,
33,6011319140286500.0,03/27,Discover,2004-04-15,,
34,30070160895444.0,07/30,Diners Club / Carte Blanche,2015-09-09,,
35,6519198063614630.0,04/28,Discover,2013-06-28,,
36,3586998220025090.0,06/23,JCB 16 digit,2017-01-23,,
37,213193559056698.0,11/22,JCB 15 digit,2007-01-10,,
38,6011732157268970.0,12/25,Discover,2000-10-28,,
39,6508579250326330.0,07/29,Discover,2020-08-01,,
40,676342497770.0,06/28,Maestro,2018-03-30,,
41,4269500117350.0,11/29,VISA 13 digit,1997-10-10,,
42,30549846007078.0,07/29,Diners Club / Carte Blanche,2004-04-24,,
43,180055427082629.0,11/25,JCB 15 digit,1999-02-14,,
44,4745973502647560.0,12/30,VISA 16 digit,2007-05-26,,
45,213175625659019.0,12/25,JCB 15 digit,2016-12-07,,
46,4725569205414140.0,10/27,VISA 16 digit,2005-09-03,,
47,580405550741.0,01/29,Maestro,2004-10-24,,
48,213124170919808.0,01/27,JCB 15 digit,2020-01-12,,
49,6579839130901240.0,11/28,Discover,2000-03-21,,
50,3589073163918990.0,01/31,JCB 16 digit,2004-08-18,,
51,378972011276593.0,05/30,American Express,2004-11-24,,
52,4279915010711940.0,01/31,VISA 16 digit,2010-06-09,,
53,502068782395.0,12/28,Maestro,2013-08-31,,
54,3529701386821070.0,06/27,JCB 16 digit,2008-07-11,,
0,36612947046074.0,08/31,Diners Club / Carte Blanche,2020-10-25,,
1,3565095769388850.0,10/27,JCB 16 digit,2002-11-02,,
2,213106296830555.0,02/24,JCB 15 digit,2000-07-31,,
3,501819600831.0,10/24,Maestro,2011-01-25,,
4,3553864070911620.0,08/28,JCB 16 digit,2013-04-14,,
5,213146896631383.0,10/29,JCB 15 digit,2004-01-04,,
6,2679782862842830.0,07/23,Mastercard,1998-05-08,,
7,4024404116125600.0,03/25,VISA 16 digit,2009-12-07,,
8,3524290376286650.0,01/31,JCB 16 digit,1998-09-11,,
9,4.42323587618376e+18,12/22,VISA 19 digit,2013-11-08,,
10,5260053446250720.0,08/24,Mastercard,2018-07-09,,
11,2354122823219540.0,12/29,Mastercard,2015-07-10,,
12,38235163178674.0,10/29,Diners Club / Carte Blanche,1994-12-18,,
13,6581045284194340.0,10/23,Discover,2007-04-22,,
14,3509082905994920.0,08/29,JCB 16 digit,2005-05-09,,
15,6011518002541290.0,05/25,Discover,2004-12-22,,
16,2222911104035170.0,07/25,Mastercard,1999-11-25,,
17,2720987155568230.0,12/31,Mastercard,2013-01-03,,
18,373752078729071.0,01/30,American Express,2021-10-12,,
19,676239422733.0,10/25,Maestro,2012-04-11,,
20,2247136285009190.0,01/31,Mastercard,2005-01-24,,
21,30539556264290.0,12/24,Diners Club / Carte Blanche,2020-07-18,,
22,4791570885466320.0,03/29,VISA 16 digit,2013-09-08,,
23,4.69542234701119e+18,01/27,VISA 19 digit,1998-12-09,,
24,38186932929121.0,02/28,Diners Club / Carte Blanche,2014-01-22,,
25,4.20966167414396e+18,04/25,VISA 19 digit,2014-07-28,,
26,3597684752028080.0,09/30,JCB 16 digit,2020-03-14,,
27,36664331518994.0,01/29,Diners Club / Carte Blanche,2019-11-25,,
28,213122123620408.0,09/23,JCB 15 digit,2007-04-17,,
29,213168070627409.0,01/24,JCB 15 digit,2019-02-17,,
30,4884651808787210.0,01/28,VISA 16 digit,2001-07-31,,
31,180078745706869.0,01/24,JCB 15 digit,1995-01-20,,
32,5425193099286390.0,05/31,Mastercard,2005-08-13,,
33,2244726343983970.0,05/23,Mastercard,2019-10-17,,
34,4104840306522.0,10/29,VISA 13 digit,2006-04-02,,
35,4236344656931100.0,07/25,VISA 16 digit,2002-03-04,,
36,3530122257495030.0,07/24,JCB 16 digit,2006-06-15,,
37,676208979804.0,02/30,Maestro,2018-11-13,,
38,213117135698111.0,02/24,JCB 15 digit,2011-08-13,,
39,377736544471042.0,01/31,American Express,1995-10-03,,
40,4475287905624.0,01/31,VISA 13 digit,2005-05-03,,
41,4154467840962600.0,12/25,VISA 16 digit,2005-08-16,,
42,4364540547349590.0,05/25,VISA 16 digit,2013-04-08,,
43,180062134213265.0,01/32,JCB 15 digit,2015-05-06,,
44,4452677112648890.0,10/26,VISA 16 digit,2011-01-25,,
45,370280460218845.0,10/32,American Express,2015-07-10,,
46,4379111045957390.0,11/29,VISA 16 digit,1996-10-09,,
47,3539253906333870.0,12/28,JCB 16 digit,2011-12-14,,
48,2720774643370160.0,02/32,Mastercard,1994-10-02,,
49,4020143346511520.0,07/28,VISA 16 digit,2002-07-13,,
50,6588339154608180.0,09/30,Discover,2013-12-08,,
51,375659331880179.0,10/30,American Express,2017-12-25,,
52,3552418422881330.0,09/23,JCB 16 digit,1993-05-17,,
53,30261873734000.0,05/25,Diners Club / Carte Blanche,2018-11-18,,
54,4948257751336790.0,01/27,VISA 16 digit,2006-07-12,,
0,213145817994995.0,05/25,JCB 15 digit,2006-09-28,,
1,4255201339575.0,06/24,VISA 13 digit,2011-12-19,,
2,4.41288164711844e+18,05/25,VISA 19 digit,2017-11-07,,
3,213100565283380.0,01/24,JCB 15 digit,1998-04-05,,
4,5412500190501840.0,06/23,Mastercard,1996-10-07,,
5,4632533106684.0,01/31,VISA 13 digit,2017-11-03,,
6,213139466392767.0,12/23,JCB 15 digit,2006-05-02,,
7,180065342254070.0,09/27,JCB 15 digit,2009-04-03,,
8,38044054963750.0,01/32,Diners Club / Carte Blanche,2002-01-22,,
9,3597981604743810.0,08/32,JCB 16 digit,2021-11-23,,
10,3527743450281570.0,06/24,JCB 16 digit,1994-07-25,,
11,3562033714764510.0,04/24,JCB 16 digit,2016-07-02,,
12,372905230076036.0,09/28,American Express,2010-01-05,,
13,2241198134108920.0,04/32,Mastercard,1993-10-01,,
14,2294770282569030.0,04/26,Mastercard,1999-02-05,,
15,573550049486.0,11/24,Maestro,2006-10-11,,
16,4490315119685670.0,01/27,VISA 16 digit,2006-08-24,,
17,371660758841607.0,01/28,American Express,2003-10-08,,
18,3564709799315480.0,09/27,JCB 16 digit,1993-06-19,,
19,180005358797240.0,10/26,JCB 15 digit,2014-03-11,,
20,5276265191613000.0,06/24,Mastercard,1995-05-10,,
21,38866092718428.0,11/31,Diners Club / Carte Blanche,2019-03-22,,
22,4.53385118368989e+18,08/23,VISA 19 digit,2001-03-31,,
23,4069504290298.0,12/26,VISA 13 digit,2006-05-09,,
24,344775845056995.0,04/24,American Express,2018-09-13,,
25,3545453414018480.0,11/23,JCB 16 digit,1995-09-11,,
26,6011834320061360.0,04/26,Discover,2004-10-14,,
27,3508786300299090.0,10/26,JCB 16 digit,1996-09-16,,
28,4.51370095974455e+18,10/30,VISA 19 digit,2008-03-18,,
29,30123127199770.0,03/25,Diners Club / Carte Blanche,2017-05-19,,
30,4110529942222740.0,05/26,VISA 16 digit,2006-10-13,,
31,3552210703729040.0,08/25,JCB 16 digit,2010-05-22,,
32,376828033593997.0,12/29,American Express,2001-11-08,,
33,5308229972264940.0,07/26,Mastercard,1993-05-09,,
34,4447778046440.0,08/23,VISA 13 digit,1996-09-29,,
35,213161924852703.0,10/24,JCB 15 digit,2000-09-04,,
36,4927602794885.0,04/31,VISA 13 digit,2020-03-20,,
37,6570641518621810.0,06/28,Discover,2003-03-19,,
38,4959056371365.0,03/25,VISA 13 digit,2009-12-24,,
39,3549516480299890.0,09/31,JCB 16 digit,2010-07-02,,
40,2233622104422380.0,08/31,Mastercard,2016-07-28,,
41,3586458265805970.0,01/30,JCB 16 digit,2017-05-23,,
42,180023513924047.0,07/32,JCB 15 digit,2003-06-13,,
43,6011274080742200.0,09/23,Discover,2010-02-02,,
44,180022859369973.0,07/29,JCB 15 digit,2004-09-28,,
45,3500239855345020.0,03/28,JCB 16 digit,2008-01-12,,
46,3575827480299980.0,03/29,JCB 16 digit,2010-04-22,,
47,4130101753002640.0,12/24,VISA 16 digit,2015-06-30,,
48,503836440456.0,12/24,Maestro,1998-09-11,,
49,3545460415352870.0,04/23,JCB 16 digit,2019-06-05,,
50,3541183043822150.0,06/32,JCB 16 digit,1993-01-26,,
51,4310478407558810.0,04/27,VISA 16 digit,2014-09-18,,
52,213199936642613.0,03/23,JCB 15 digit,2012-09-15,,
53,180066579420269.0,05/30,JCB 15 digit,1998-10-09,,
54,349071872451860.0,01/24,American Express,2016-03-02,,
0,3583945758183700.0,11/22,JCB 16 digit,2004-09-06,,
1,4753972700986570.0,07/32,VISA 16 digit,2005-01-01,,
2,4728967195290.0,04/32,VISA 13 digit,2001-08-09,,
3,346062706998526.0,08/29,American Express,2019-12-14,,
4,4.79181668421958e+18,09/27,VISA 19 digit,2008-12-11,,
5,4797588933165.0,12/24,VISA 13 digit,2003-12-22,,
6,213183649351258.0,08/25,JCB 15 digit,1999-11-20,,
7,6011718884650490.0,08/25,Discover,2000-01-02,,
8,349893115217638.0,12/29,American Express,2010-11-21,,
9,4948467187574350.0,11/29,VISA 16 digit,2002-07-13,,
10,4218482813308770.0,07/30,VISA 16 digit,2011-06-13,,
11,3511872444836400.0,03/27,JCB 16 digit,2013-09-25,,
12,4318067637258.0,01/27,VISA 13 digit,2011-08-30,,
13,213188160969446.0,10/29,JCB 15 digit,2003-01-07,,
14,30587079887154.0,12/28,Diners Club / Carte Blanche,1994-12-18,,
15,3573692132133250.0,09/23,JCB 16 digit,2017-08-07,,
16,676126375515.0,12/30,Maestro,2009-11-22,,
17,375542242415741.0,07/32,American Express,2015-12-03,,
18,3574688128460650.0,04/29,JCB 16 digit,2002-01-05,,
19,4277927044880100.0,09/27,VISA 16 digit,2005-07-26,,
20,5134934058296090.0,11/26,Mastercard,2008-07-22,,
21,4.02533294650132e+18,08/28,VISA 19 digit,2015-09-17,,
22,4.51937440457404e+18,02/27,VISA 19 digit,2004-09-06,,
23,2256405521922800.0,04/24,Mastercard,2009-04-03,,
24,639069427180.0,03/28,Maestro,2016-10-29,,
25,502055223031.0,07/25,Maestro,2012-05-09,,
26,3520965438623840.0,08/27,JCB 16 digit,1997-05-27,,
27,2720379349941790.0,09/31,Mastercard,1998-04-10,,
28,3547363334826400.0,07/26,JCB 16 digit,2001-10-08,,
29,630423061609.0,10/27,Maestro,2019-06-20,,
30,3556690112562600.0,06/30,JCB 16 digit,2022-04-12,,
31,630415812183.0,09/30,Maestro,2016-03-11,,
32,180055097120469.0,05/24,JCB 15 digit,2020-10-03,,
33,3582797130336090.0,04/25,JCB 16 digit,1994-08-24,,
34,3573701973177260.0,10/26,JCB 16 digit,1998-10-25,,
35,5196601702557400.0,10/23,Mastercard,2019-04-23,,
36,4060648021227240.0,01/29,VISA 16 digit,2000-05-25,,
37,3536744067416830.0,03/26,JCB 16 digit,2012-06-13,,
38,4726101010022820.0,03/26,VISA 16 digit,2015-05-12,,
39,213190825082094.0,01/26,JCB 15 digit,2002-09-20,,
40,30403595566761.0,12/28,Diners Club / Carte Blanche,2000-01-05,,
41,4597247227417.0,01/26,VISA 13 digit,1998-12-08,,
42,4.75939281203782e+18,03/28,VISA 19 digit,2008-05-07,,
43,4.47325733477671e+18,11/25,VISA 19 digit,1995-03-20,,
44,6011795489307220.0,08/30,Discover,2007-01-13,,
45,30560908870758.0,10/27,Diners Club / Carte Blanche,2001-12-15,,
46,2720821406666800.0,10/26,Mastercard,1999-05-25,,
47,4227057750747260.0,09/32,VISA 16 digit,2018-09-19,,
48,6011575389497600.0,08/28,Discover,2012-05-07,,
49,341815170096779.0,10/27,American Express,1996-07-31,,
50,4005771536237.0,07/31,VISA 13 digit,1999-06-10,,
51,4635229967293.0,07/29,VISA 13 digit,2012-04-13,,
52,3576626374874020.0,05/23,JCB 16 digit,1993-05-06,,
53,4.90355167442513e+18,07/29,VISA 19 digit,1995-01-29,,
54,30565470024395.0,03/23,Diners Club / Carte Blanche,2019-03-13,,
0,30340141010961.0,03/29,Diners Club / Carte Blanche,2004-07-03,,
1,6011808681237790.0,07/31,Discover,2019-10-26,,
2,2236744649248520.0,12/25,Mastercard,2000-05-20,,
3,5178625711472530.0,06/31,Mastercard,1993-06-24,,
4,4403859160555160.0,08/26,VISA 16 digit,2021-04-11,,
5,565233615642.0,03/27,Maestro,1993-09-06,,
6,6011322390742470.0,09/31,Discover,1995-08-23,,
7,4490080892128840.0,06/32,VISA 16 digit,2018-02-21,,
8,6011401175522520.0,08/30,Discover,2011-12-17,,
9,4089560128448560.0,06/29,VISA 16 digit,1994-07-02,,
10,4.13445473689043e+18,09/24,VISA 19 digit,2014-01-16,,
11,5518793524632600.0,08/24,Mastercard,2000-03-08,,
12,4.56804240711305e+18,07/32,VISA 19 digit,2002-10-30,,
13,4702242750433620.0,03/32,VISA 16 digit,2020-06-05,,
14,572459964613.0,09/31,Maestro,2021-12-06,,
15,30148537691637.0,12/28,Diners Club / Carte Blanche,2005-12-14,,
16,180062547468241.0,04/30,JCB 15 digit,2001-03-13,,
17,4275716156907500.0,05/24,VISA 16 digit,1999-12-20,,
18,30034752468051.0,01/30,Diners Club / Carte Blanche,2008-09-06,,
19,180044483229589.0,09/23,JCB 15 digit,2001-08-09,,
20,3598344137391930.0,03/31,JCB 16 digit,2020-06-26,,
21,4.07546572352405e+18,02/30,VISA 19 digit,2014-04-11,,
22,3517703495618890.0,09/30,JCB 16 digit,2016-03-07,,
23,3505076855006580.0,04/26,JCB 16 digit,2012-05-15,,
24,4958412950774040.0,12/24,VISA 16 digit,2008-04-16,,
25,2707016070588420.0,08/27,Mastercard,2022-01-03,,
26,3592133699432710.0,12/27,JCB 16 digit,2010-04-03,,
27,6543310847713410.0,06/27,Discover,2021-11-17,,
28,30202237528027.0,12/24,Diners Club / Carte Blanche,2022-03-29,,
29,180015790641310.0,07/23,JCB 15 digit,1996-04-03,,
30,4063809353669860.0,02/32,VISA 16 digit,2012-05-23,,
31,5278120877774140.0,07/30,Mastercard,2020-08-18,,
32,676359881601.0,10/25,Maestro,1999-07-08,,
33,4575181500643.0,11/28,VISA 13 digit,2010-03-16,,
34,213116513553435.0,08/27,JCB 15 digit,1994-10-27,,
35,6584222408640000.0,07/25,Discover,2004-02-08,,
36,4433375482379220.0,07/25,VISA 16 digit,1998-07-18,,
37,5124639735421010.0,02/24,Mastercard,2001-09-03,,
38,630435768035.0,08/25,Maestro,2022-04-15,,
39,6583143203823200.0,07/28,Discover,2021-08-24,,
40,4942150594857560.0,11/26,VISA 16 digit,2020-03-31,,
41,6011810356786130.0,05/23,Discover,1995-08-11,,
42,4644438673224480.0,10/32,VISA 16 digit,1997-03-22,,
43,6512397945338280.0,12/29,Discover,1998-07-02,,
44,3528239718234490.0,07/25,JCB 16 digit,2007-06-08,,
45,4582938562132.0,05/29,VISA 13 digit,1998-06-29,,
46,675970288006.0,11/26,Maestro,2018-03-03,,
47,180011637061556.0,09/29,JCB 15 digit,2016-08-28,,
48,370657981019085.0,04/23,American Express,2008-08-20,,
49,3562114542878730.0,03/23,JCB 16 digit,1995-05-22,,
50,180071716441855.0,11/27,JCB 15 digit,2009-09-05,,
51,4129757871945.0,08/25,VISA 13 digit,2018-11-04,,
52,213121874084913.0,09/29,JCB 15 digit,2005-02-04,,
53,676348204725.0,06/28,Maestro,2000-05-25,,
54,3524348839935170.0,09/27,JCB 16 digit,2011-11-10,,
0,3596977671437300.0,04/23,JCB 16 digit,2013-06-25,,
1,213179152392937.0,10/31,JCB 15 digit,1996-09-29,,
2,6011387660273910.0,06/24,Discover,2017-05-31,,
3,3519230370635530.0,05/31,JCB 16 digit,2014-10-06,,
4,213169263345080.0,04/30,JCB 15 digit,2015-12-17,,
5,4139730656180.0,11/30,VISA 13 digit,2002-12-04,,
6,4270130377983080.0,12/23,VISA 16 digit,2008-08-16,,
7,4440466727389.0,06/23,VISA 13 digit,2022-04-30,,
8,4581042812730.0,03/30,VISA 13 digit,2020-03-14,,
9,3501977616743360.0,04/31,JCB 16 digit,2013-04-24,,
10,4359085122825240.0,10/23,VISA 16 digit,2009-10-26,,
11,180072517698834.0,02/25,JCB 15 digit,2001-06-06,,
12,639023913390.0,04/27,Maestro,2019-10-03,,
13,3587691552501230.0,02/30,JCB 16 digit,1998-02-25,,
14,6011433247302600.0,04/24,Discover,2006-06-19,,
15,30500080800330.0,03/31,Diners Club / Carte Blanche,1993-01-20,,
16,4231017779853500.0,02/29,VISA 16 digit,2008-11-12,,
17,6550803400109370.0,11/24,Discover,2001-10-27,,
18,2427361109662930.0,08/31,Mastercard,2011-01-19,,
19,3590252138118460.0,01/25,JCB 16 digit,2005-03-23,,
20,375905084201653.0,04/31,American Express,2013-03-25,,
21,4873219908269640.0,09/27,VISA 16 digit,1999-09-02,,
22,6520246654215670.0,06/28,Discover,2021-05-05,,
23,30591100673369.0,12/28,Diners Club / Carte Blanche,1993-02-18,,
24,30271597074583.0,07/28,Diners Club / Carte Blanche,1999-06-12,,
25,4159183401557750.0,04/29,VISA 16 digit,2014-05-19,,
26,4197620491785050.0,02/32,VISA 16 digit,2008-03-22,,
27,2274756318590200.0,01/32,Mastercard,1998-05-23,,
28,38193008048661.0,01/29,Diners Club / Carte Blanche,1996-11-05,,
29,4587697309049010.0,09/32,VISA 16 digit,1997-01-02,,
30,4379756020499490.0,03/24,VISA 16 digit,1993-12-14,,
31,4126693425562.0,08/26,VISA 13 digit,2008-11-29,,
32,4.87689692324163e+18,10/32,VISA 19 digit,2001-06-11,,
33,2234332550529530.0,11/27,Mastercard,1997-10-26,,
34,4834561541987310.0,07/26,VISA 16 digit,2001-01-24,,
35,2259785530632450.0,07/29,Mastercard,2003-10-22,,
36,4851236131173870.0,08/26,VISA 16 digit,2016-02-02,,
37,4587295380500700.0,09/29,VISA 16 digit,1999-06-03,,
38,4469860830937.0,02/31,VISA 13 digit,2020-11-01,,
39,4099249447770.0,02/28,VISA 13 digit,1997-04-29,,
40,3570777683330400.0,08/30,JCB 16 digit,2015-04-07,,
41,4674117552370.0,09/23,VISA 13 digit,2003-07-30,,
42,3553675930623640.0,08/24,JCB 16 digit,2022-03-13,,
43,3557909165722710.0,07/23,JCB 16 digit,1994-05-15,,
44,375940377039403.0,08/31,American Express,2012-11-19,,
45,4171683055872420.0,11/25,VISA 16 digit,2020-11-16,,
46,4704521829845550.0,05/26,VISA 16 digit,2005-11-08,,
47,2720981267744590.0,11/24,Mastercard,2021-09-01,,
48,3509567432950530.0,01/32,JCB 16 digit,1995-04-18,,
49,6530240476297720.0,03/29,Discover,2017-07-01,,
50,4402288245263.0,06/32,VISA 13 digit,2009-09-20,,
51,3571915521097220.0,01/25,JCB 16 digit,1993-04-24,,
52,3566818171969730.0,09/23,JCB 16 digit,2016-10-31,,
53,180022183139464.0,02/28,JCB 15 digit,2000-03-11,,
54,4722385995047420.0,05/24,VISA 16 digit,2014-02-21,,
0,4.19934283039478e+18,08/28,VISA 19 digit,2015-12-01,,
1,3541825860767720.0,05/31,JCB 16 digit,1995-02-13,,
2,378986701619177.0,09/24,American Express,1999-07-11,,
3,3570151215703900.0,12/27,JCB 16 digit,2015-03-30,,
4,3517928758858990.0,05/27,JCB 16 digit,2022-03-12,,
5,6011367975956880.0,02/27,Discover,2007-11-02,,
6,2242913426273330.0,08/32,Mastercard,2019-03-24,,
7,30218981883780.0,10/26,Diners Club / Carte Blanche,1997-01-06,,
8,377108876783495.0,12/28,American Express,1994-12-03,,
9,213188032400935.0,01/27,JCB 15 digit,1999-12-02,,
10,377796305296749.0,07/26,American Express,1995-07-07,,
11,6515586684521570.0,01/31,Discover,1999-07-20,,
12,6011429624848530.0,06/31,Discover,1998-05-30,,
14,3531231102721490.0,01/32,JCB 16 digit,2002-12-08,,
15,4265905873417050.0,12/26,VISA 16 digit,2013-07-09,,
16,4.0631795944951296e+18,04/29,VISA 19 digit,2020-11-03,,
17,4.36147466635864e+18,02/29,VISA 19 digit,2008-10-06,,
19,4376263742931540.0,04/31,VISA 16 digit,2007-10-22,,
20,4432220981896380.0,04/31,VISA 16 digit,1999-04-20,,
21,2286594900538290.0,07/24,Mastercard,2002-06-04,,
22,4207486499403280.0,02/32,VISA 16 digit,2017-05-01,,
23,213167304669690.0,01/32,JCB 15 digit,2017-03-31,,
24,370119986827624.0,05/32,American Express,2004-01-18,,
25,30089263411255.0,10/26,Diners Club / Carte Blanche,2017-11-22,,
26,3588507598854750.0,11/29,JCB 16 digit,2008-11-26,,
27,4024993816682190.0,06/26,VISA 16 digit,1995-06-03,,
28,5570153154007440.0,06/23,Mastercard,2020-08-15,,
29,3557387570292750.0,05/23,JCB 16 digit,1999-10-21,,
30,6533483690655910.0,01/26,Discover,2008-02-02,,
31,213129706343167.0,10/30,JCB 15 digit,2019-11-15,,
32,4288781322570.0,08/24,VISA 13 digit,2011-04-02,,
33,180092261730203.0,01/23,JCB 15 digit,1997-09-24,,
34,3526629305894530.0,03/23,JCB 16 digit,2005-02-24,,
35,4.68712758112948e+18,10/25,VISA 19 digit,2004-02-25,,
36,4681060026179.0,05/24,VISA 13 digit,2005-04-09,,
37,3573918734449810.0,11/27,JCB 16 digit,2003-01-13,,
38,503877404338.0,11/29,Maestro,2015-08-08,,
39,3517666229075960.0,12/30,JCB 16 digit,2016-02-23,,
40,379753973875856.0,08/32,American Express,1993-08-07,,
41,36040310842715.0,10/31,Diners Club / Carte Blanche,2006-11-17,,
42,4075499987064240.0,03/28,VISA 16 digit,1992-12-22,,
43,38668123044919.0,12/29,Diners Club / Carte Blanche,2013-05-07,,
44,4675560440997.0,04/29,VISA 13 digit,2014-11-01,,
45,341556617843825.0,12/24,American Express,2010-09-16,,
46,4263129415478950.0,11/26,VISA 16 digit,2008-09-01,,
47,180060619779701.0,09/31,JCB 15 digit,1995-10-22,,
48,2286507537281370.0,07/26,Mastercard,2021-02-14,,
49,3588369758370040.0,12/25,JCB 16 digit,2018-12-25,,
50,501857694639.0,12/26,Maestro,2007-04-11,,
51,213113489110118.0,11/24,JCB 15 digit,2002-11-25,,
52,3524832284329820.0,12/29,JCB 16 digit,2012-01-21,,
53,213186085130375.0,11/29,JCB 15 digit,2001-05-30,,
54,30065979770333.0,03/28,Diners Club / Carte Blanche,2020-05-18,,
0,4616642571888.0,04/25,VISA 13 digit,2020-01-12,,
1,30455525004032.0,02/24,Diners Club / Carte Blanche,2007-05-04,,
2,347866422904504.0,01/24,American Express,2006-12-14,,
3,60491215673.0,04/24,Maestro,2017-03-27,,
4,3524986942711010.0,07/25,JCB 16 digit,2015-12-07,,
5,2615622531301250.0,03/31,Mastercard,2004-09-29,,
6,6548316204001810.0,10/31,Discover,2014-12-24,,
7,676101429105.0,03/23,Maestro,2015-02-24,,
8,379901145370427.0,03/24,American Express,2014-11-26,,
9,6598923501466790.0,05/30,Discover,2005-02-01,,
10,375342227281998.0,12/23,American Express,2001-02-11,,
11,3504933232712210.0,04/28,JCB 16 digit,2000-03-26,,
12,3597445946487940.0,11/30,JCB 16 digit,1993-12-23,,
13,5233904484310130.0,03/32,Mastercard,2008-07-07,,
14,341437852446782.0,07/25,American Express,2016-07-06,,
15,30173645736504.0,09/32,Diners Club / Carte Blanche,2017-06-22,,
16,30279720242696.0,03/27,Diners Club / Carte Blanche,2009-12-25,,
17,5508374218026720.0,01/24,Mastercard,2020-11-03,,
18,4720368482944480.0,08/23,VISA 16 digit,2014-12-03,,
19,2234515800741870.0,05/24,Mastercard,2008-01-24,,
20,3506124545406520.0,08/29,JCB 16 digit,2013-10-29,,
21,6533142373166610.0,11/25,Discover,2022-08-18,,
22,3585542587627010.0,08/27,JCB 16 digit,2016-04-13,,
23,4737494024527.0,11/25,VISA 13 digit,2013-10-05,,
24,30366195420814.0,10/32,Diners Club / Carte Blanche,2006-06-01,,
25,6011549320203100.0,08/31,Discover,2011-12-31,,
26,347328648805817.0,08/26,American Express,2014-04-25,,
27,30376594760827.0,09/24,Diners Club / Carte Blanche,2004-07-06,,
28,4832490139632720.0,09/30,VISA 16 digit,2018-10-26,,
29,3598279466552110.0,07/32,JCB 16 digit,2017-06-14,,
30,3597177614704290.0,01/28,JCB 16 digit,2014-10-20,,
31,373966391063824.0,12/24,American Express,2006-02-18,,
32,3527201103832930.0,12/26,JCB 16 digit,2018-11-08,,
33,6011067852193710.0,08/32,Discover,1999-07-10,,
34,6011464331179280.0,12/24,Discover,2017-06-29,,
35,3500101211451400.0,04/28,JCB 16 digit,2010-12-19,,
36,4933855585814.0,04/32,VISA 13 digit,2011-01-28,,
37,30498323727602.0,07/27,Diners Club / Carte Blanche,2018-02-09,,
38,6011298169077460.0,10/23,Discover,2002-10-17,,
39,4840234279702040.0,01/24,VISA 16 digit,2021-05-02,,
40,4694849505923570.0,02/27,VISA 16 digit,1996-08-02,,
41,4438151790696.0,09/30,VISA 13 digit,1993-04-13,,
42,6513343081017790.0,08/27,Discover,2002-03-10,,
43,180013782044783.0,07/29,JCB 15 digit,1994-07-05,,
44,3558194708803460.0,11/23,JCB 16 digit,2013-01-28,,
45,3568611431834640.0,11/26,JCB 16 digit,2010-04-16,,
46,4554807299808050.0,08/31,VISA 16 digit,1995-04-17,,
